hex,count_good_aircraft,count_bad_aircraft
8474991ffffffff,2,0
8486b15ffffffff,1,0
84089d9ffffffff,24,0
841aa3bffffffff,11,0
8428769ffffffff,1,0
84538d9ffffffff,8,0
8495aebffffffff,3,0
8456303ffffffff,1,0
8460035ffffffff,45,0
846945bffffffff,33,0
84648e7ffffffff,4,0
8494159ffffffff,1,0
84a7abdffffffff,7,0
8412f63ffffffff,12,0
8458ea9ffffffff,2,0
84a8aedffffffff,25,0
843c929ffffffff,7,0
845f097ffffffff,6,0
840b845ffffffff,42,0
849d5cbffffffff,1,0
841aa6bffffffff,29,0
844ba33ffffffff,1,0
8407705ffffffff,1,0
843920bffffffff,228,0
841e999ffffffff,75,0
8406ca3ffffffff,2,0
845072bffffffff,1,0
84659d1ffffffff,20,0
843cb2dffffffff,15,0
848e751ffffffff,58,0
842a511ffffffff,11,0
842c8b1ffffffff,26,0
849d047ffffffff,1,0
8419037ffffffff,7,0
8444543ffffffff,44,0
84bce83ffffffff,10,0
842ea45ffffffff,13,0
8467717ffffffff,15,0
8410b3bffffffff,6,0
84ac9c9ffffffff,3,0
844b1e5ffffffff,14,0
8418b59ffffffff,1,0
8464225ffffffff,1,0
8449853ffffffff,33,0
8483b4bffffffff,2,0
84276cdffffffff,9,0
842c8d5ffffffff,1,0
849e66dffffffff,1,0
845c1adffffffff,1,0
84bce67ffffffff,3,0
84196bdffffffff,297,0
84488d5ffffffff,9,0
841e93dffffffff,16,0
8407447ffffffff,7,0
8445761ffffffff,8,0
8420235ffffffff,1,0
841a851ffffffff,25,0
848c107ffffffff,124,0
843c199ffffffff,15,0
8411349ffffffff,31,0
8450d85ffffffff,5,0
8428945ffffffff,77,0
843429bffffffff,4,0
8428855ffffffff,147,0
841b657ffffffff,45,0
841ab4dffffffff,22,0
845896dffffffff,5,0
8412f17ffffffff,9,0
8408ad1ffffffff,1,0
8430c45ffffffff,147,0
8461881ffffffff,57,0
841052dffffffff,13,0
848d8a9ffffffff,53,0
8440013ffffffff,1,0
8460021ffffffff,43,0
8428011ffffffff,2,0
84095ddffffffff,2,0
845441dffffffff,1,0
84636c1ffffffff,2,0
8442305ffffffff,9,0
8472b5dffffffff,3,0
846d0d1ffffffff,2,0
8466311ffffffff,5,0
8445989ffffffff,40,0
8451427ffffffff,1,0
8444129ffffffff,191,0
8495a87ffffffff,2,0
844ac81ffffffff,1,0
841f957ffffffff,368,0
84124edffffffff,5,0
8450f13ffffffff,1,0
84278e7ffffffff,39,0
842924dffffffff,1,0
84601e9ffffffff,34,0
845354dffffffff,63,0
8408c17ffffffff,5,0
842ead1ffffffff,5,0
847b8a5ffffffff,1,0
8412989ffffffff,11,0
841c13bffffffff,1,0
84b240bffffffff,1,0
8434743ffffffff,1,0
84118ddffffffff,10,0
840ce09ffffffff,54,0
843b06dffffffff,2,0
841ecd7ffffffff,443,27
8465265ffffffff,4,0
84bc0b9ffffffff,1,0
84201b3ffffffff,8,0
8448e03ffffffff,12,0
841acb3ffffffff,2,0
8482f39ffffffff,1,0
8435021ffffffff,7,0
84532b9ffffffff,3,0
848268bffffffff,1,0
8410303ffffffff,2,0
8470257ffffffff,1,0
8426c63ffffffff,183,0
841b859ffffffff,20,0
844b911ffffffff,23,0
8421921ffffffff,1,0
846335dffffffff,1,0
8472e2bffffffff,2,0
84b202dffffffff,1,0
840d0b5ffffffff,1,0
8435015ffffffff,7,0
84a6f29ffffffff,1,0
84580a7ffffffff,4,0
849d005ffffffff,1,0
84800d7ffffffff,3,0
