hex,count_good_aircraft,count_bad_aircraft
845f30dffffffff,1,0
8414ad7ffffffff,12,0
8403821ffffffff,1,0
848d2a3ffffffff,3,0
8408ce1ffffffff,2,0
8428ee5ffffffff,2,0
842c167ffffffff,62,18
84192abffffffff,6,0
840e6dbffffffff,6,0
8401813ffffffff,1,0
84552cbffffffff,2,0
8463a9dffffffff,3,0
8445489ffffffff,10,0
8412cddffffffff,36,0
84a5b67ffffffff,1,0
8486ebdffffffff,2,0
840cdedffffffff,4,0
841a547ffffffff,1,0
84100d1ffffffff,10,0
845f60bffffffff,3,0
846a6e9ffffffff,4,0
843b607ffffffff,1,0
84430b7ffffffff,23,0
8481021ffffffff,30,0
84b3a53ffffffff,4,0
840f605ffffffff,7,0
8457a95ffffffff,1,0
842c0c3ffffffff,29,0
841e2d5ffffffff,18,0
84da903ffffffff,7,0
8443303ffffffff,44,0
8432c9dffffffff,1,0
842566dffffffff,2,0
8412ee7ffffffff,43,0
842280dffffffff,2,0
84ba197ffffffff,2,0
8442351ffffffff,75,0
8412a3dffffffff,1,0
8429549ffffffff,16,0
8466015ffffffff,44,0
84184e9ffffffff,123,0
8439867ffffffff,6,0
846032dffffffff,22,0
8406d17ffffffff,1,0
84a5541ffffffff,1,0
843f631ffffffff,34,0
843945bffffffff,215,0
843ad8dffffffff,1,0
8428f53ffffffff,2,0
8467669ffffffff,6,0
844ab47ffffffff,1,0
8437469ffffffff,3,0
844d5e1ffffffff,14,0
84742e3ffffffff,1,0
840cc95ffffffff,1,0
840c425ffffffff,5,0
848b35bffffffff,6,0
842540dffffffff,2,0
842b80dffffffff,28,0
846d351ffffffff,7,0
8426cc1ffffffff,211,0
8472e8bffffffff,1,0
84188cbffffffff,14,0
841ee11ffffffff,261,0
84b21e9ffffffff,11,0
842a08bffffffff,1,0
84a8861ffffffff,25,0
8417297ffffffff,5,0
848c33bffffffff,1,0
84b8417ffffffff,12,0
8410141ffffffff,1,0
845e095ffffffff,3,0
84350e1ffffffff,12,0
844880bffffffff,8,0
84621c1ffffffff,1,0
8428131ffffffff,116,0
8430ebbffffffff,25,0
84279dbffffffff,51,0
8432d53ffffffff,2,0
8419441ffffffff,13,0
841f439ffffffff,1,0
84458a1ffffffff,1,0
841eca3ffffffff,39,0
849d217ffffffff,44,0
84309ebffffffff,90,0
84616a9ffffffff,1,0
84b24c3ffffffff,8,0
84110c5ffffffff,2,0
841ade3ffffffff,1,0
84b8a1bffffffff,3,0
844213dffffffff,174,0
8448ed5ffffffff,2,0
8458855ffffffff,2,0
843f489ffffffff,75,2
8424ee5ffffffff,1,0
8420555ffffffff,3,0
8446265ffffffff,1,0
84394a9ffffffff,38,0
84768c7ffffffff,2,0
84485bdffffffff,192,0
8420337ffffffff,1,0
8482741ffffffff,1,0
8402083ffffffff,1,0
84202abffffffff,6,0
842362dffffffff,3,0
84838c5ffffffff,3,0
84be8d5ffffffff,204,0
84308adffffffff,35,0
8443a43ffffffff,164,0
8442227ffffffff,78,0
8418207ffffffff,31,0
8432501ffffffff,2,0
8481663ffffffff,9,0
841e9c1ffffffff,68,0
844f563ffffffff,1,0
8494425ffffffff,11,0
8444a85ffffffff,389,0
841a687ffffffff,16,0
841edd9ffffffff,67,0
848b58dffffffff,11,0
8439b41ffffffff,31,0
8413aa9ffffffff,2,0
841e32bffffffff,224,0
841f34bffffffff,69,0
842a9cdffffffff,283,0
84c3425ffffffff,5,0
8412b17ffffffff,7,0
848ceddffffffff,1,0
84b8635ffffffff,1,0
8428985ffffffff,86,0
841f63bffffffff,11,0
84bcc4bffffffff,2,0
8410aabffffffff,15,0
84a7205ffffffff,1,0
84185a7ffffffff,43,0
844491dffffffff,1,0
8443701ffffffff,2,0
84498e1ffffffff,43,0
8428465ffffffff,1,0
848cca5ffffffff,1,0
8460c37ffffffff,1,0
842ca53ffffffff,140,18
841041dffffffff,4,0
8475097ffffffff,3,0
845ec5dffffffff,4,0
8434d8dffffffff,1,0
8489a33ffffffff,1,0
8466d0dffffffff,8,0
84361d3ffffffff,1,0
845d105ffffffff,89,0
844d9d9ffffffff,1,0
8458205ffffffff,2,0
843f693ffffffff,47,7
8440195ffffffff,84,0
844cf15ffffffff,15,0
843cd6dffffffff,5,0
843823dffffffff,2,0
8427687ffffffff,51,0
8441421ffffffff,10,0
84be6a3ffffffff,8,0
8419497ffffffff,390,0
843253bffffffff,1,0
843c9ebffffffff,17,0
8473727ffffffff,1,0
846830dffffffff,1,0
8481945ffffffff,1,0
8481327ffffffff,15,0
8444001ffffffff,99,0
84ba847ffffffff,1,0
8409827ffffffff,36,0
8460163ffffffff,46,0
841f555ffffffff,17,1
841f229ffffffff,86,0
8430cd7ffffffff,69,0
8416453ffffffff,17,0
84c4967ffffffff,1,0
84b8861ffffffff,2,0
845f589ffffffff,2,0
840b35dffffffff,1,0
84be1b5ffffffff,118,0
8426a87ffffffff,270,0
8412801ffffffff,9,0
8441105ffffffff,38,0
842c6dbffffffff,77,0
8426697ffffffff,295,0
844a25dffffffff,47,0
8466b31ffffffff,2,0
842d34bffffffff,237,0
845e529ffffffff,4,0
84bacbdffffffff,1,0
8488e37ffffffff,1,0
848cad5ffffffff,49,0
8435195ffffffff,9,0
840c70bffffffff,1,0
841eee5ffffffff,138,0
845ed95ffffffff,1,0
8408b19ffffffff,13,0
8442d59ffffffff,1,0
8426555ffffffff,253,0
842b587ffffffff,1,0
842b015ffffffff,35,0
841f181ffffffff,199,0
848dab1ffffffff,1,0
849d6bdffffffff,3,0
8440eb3ffffffff,2,0
848a8c1ffffffff,5,0
842a243ffffffff,20,0
843551dffffffff,2,0
8469b0dffffffff,2,0
8465335ffffffff,31,0
846d73dffffffff,2,0
841f8bdffffffff,227,0
844d603ffffffff,1,0
841d4b3ffffffff,2,0
844d463ffffffff,1,0
84598a9ffffffff,1,0
841a8bdffffffff,1,0
841e1b9ffffffff,185,0
8448c9bffffffff,268,0
84a8aedffffffff,22,0
8411a13ffffffff,3,0
8449839ffffffff,31,0
8420707ffffffff,2,0
8430d33ffffffff,1,0
84a8943ffffffff,1,0
841e155ffffffff,179,0
8418537ffffffff,33,0
84a4929ffffffff,1,0
840f68dffffffff,2,0
841ca97ffffffff,1,0
841b887ffffffff,3,0
8448dc3ffffffff,320,0
841f33dffffffff,116,0
8446cb7ffffffff,1,0
8464021ffffffff,1,0
8440edbffffffff,1,0
842f4abffffffff,10,0
84546a1ffffffff,3,0
84588a3ffffffff,1,0
847550dffffffff,1,0
84b38edffffffff,1,0
842d033ffffffff,1,0
8428081ffffffff,10,0
847a353ffffffff,3,0
84a918bffffffff,11,0
84421ddffffffff,6,0
8408c27ffffffff,12,0
841e2ddffffffff,36,0
841f609ffffffff,35,0
848f5ddffffffff,17,0
8450d57ffffffff,2,0
842f599ffffffff,166,0
8407723ffffffff,1,0
84706b1ffffffff,1,0
8437b61ffffffff,1,0
8448c8dffffffff,374,0
842618dffffffff,173,0
84b8c0dffffffff,1,0
842b8c3ffffffff,116,0
846d60dffffffff,5,0
84b21abffffffff,17,0
8495123ffffffff,2,0
848e71dffffffff,2,0
840f5c1ffffffff,1,0
847576bffffffff,2,0
844523dffffffff,41,0
8426aadffffffff,244,0
8443819ffffffff,153,0
842629bffffffff,273,0
840b1c7ffffffff,5,0
845af11ffffffff,1,0
842cd61ffffffff,1,0
841a1d5ffffffff,1,0
846d6a3ffffffff,1,0
84baa9bffffffff,1,0
8436665ffffffff,2,0
842ae49ffffffff,5,0
84be147ffffffff,1,0
848ba03ffffffff,4,0
848a959ffffffff,3,0
8461aa1ffffffff,7,0
844510bffffffff,9,0
8428549ffffffff,11,0
84a8459ffffffff,5,0
8408845ffffffff,39,0
84b2143ffffffff,1,0
842e1a7ffffffff,6,0
84110cbffffffff,6,0
8456285ffffffff,3,0
841ed41ffffffff,133,0
843b8a5ffffffff,1,0
8482f0bffffffff,3,0
8427589ffffffff,241,0
84b26b1ffffffff,10,0
842f999ffffffff,2,0
847511dffffffff,2,0
848b8a3ffffffff,4,0
842a263ffffffff,26,0
842f505ffffffff,3,0
8434c43ffffffff,1,0
84262d9ffffffff,157,0
840c423ffffffff,4,0
8481861ffffffff,2,0
845e407ffffffff,16,0
844d41bffffffff,1,0
842d31dffffffff,261,2
84c2e4dffffffff,1,0
84be56bffffffff,64,0
843a46bffffffff,1,0
844f437ffffffff,1,0
841f539ffffffff,64,0
842a9b1ffffffff,213,0
842a00bffffffff,4,0
841e96bffffffff,63,0
8453461ffffffff,12,0
848d95dffffffff,1,0
8474c85ffffffff,1,0
843b161ffffffff,1,0
8444d27ffffffff,8,0
8438725ffffffff,8,0
8410f23ffffffff,31,0
8467901ffffffff,16,0
843761bffffffff,1,0
84a5099ffffffff,1,0
846a725ffffffff,4,0
842b259ffffffff,29,0
842ab59ffffffff,280,0
8436321ffffffff,3,0
8465869ffffffff,1,0
84a89d7ffffffff,99,0
84a7349ffffffff,27,0
8499833ffffffff,1,0
84a634dffffffff,4,0
841298dffffffff,2,0
8438639ffffffff,9,0
8464b4bffffffff,8,0
845321bffffffff,1,0
846c4c3ffffffff,1,0
84bc501ffffffff,1,0
840e837ffffffff,1,0
842cdc5ffffffff,6,0
842db0bffffffff,3,0
8465465ffffffff,1,0
849f497ffffffff,1,0
8480a3bffffffff,2,0
8434327ffffffff,9,0
8444535ffffffff,233,0
849a0abffffffff,1,0
846d691ffffffff,81,0
84bef6bffffffff,70,0
8482d89ffffffff,1,0
8438691ffffffff,14,0
842b241ffffffff,10,0
841ed05ffffffff,35,0
840ba39ffffffff,9,0
844308dffffffff,7,0
84826ebffffffff,1,0
845e769ffffffff,6,0
84645cdffffffff,3,0
8481355ffffffff,33,0
84a964dffffffff,4,0
848f6e5ffffffff,7,0
840e93dffffffff,2,0
843915dffffffff,93,0
8460a87ffffffff,41,0
848b0b1ffffffff,1,0
84a89e5ffffffff,4,0
84a82ddffffffff,12,0
84265c7ffffffff,147,0
842a963ffffffff,313,0
843f269ffffffff,26,0
8465043ffffffff,70,0
848aa8dffffffff,5,0
84121ddffffffff,1,0
841a88dffffffff,4,0
8488825ffffffff,1,0
843b235ffffffff,2,0
841cac3ffffffff,1,0
84190e1ffffffff,5,0
848e41dffffffff,1,0
840ea19ffffffff,1,0
848c1e9ffffffff,1,0
8426103ffffffff,56,0
84089a1ffffffff,69,0
8419a85ffffffff,9,0
848bad3ffffffff,6,0
84da86bffffffff,21,0
8470a49ffffffff,1,0
842b739ffffffff,1,0
843b1bdffffffff,1,0
8445637ffffffff,6,0
848b369ffffffff,1,0
8426121ffffffff,61,0
846941dffffffff,36,0
843a635ffffffff,6,0
8425719ffffffff,7,0
84812d9ffffffff,9,0
8410ee1ffffffff,5,0
8422a35ffffffff,1,0
8410721ffffffff,3,0
8412d63ffffffff,2,0
841960bffffffff,4,0
84266d3ffffffff,421,0
84be533ffffffff,17,0
844d981ffffffff,1,0
841299bffffffff,15,0
841fa45ffffffff,799,0
842f581ffffffff,175,0
8452ce5ffffffff,14,0
844d0ddffffffff,2,0
8444e33ffffffff,348,0
841aad7ffffffff,9,0
8465103ffffffff,6,0
84002b3ffffffff,1,0
842692dffffffff,179,0
843a6d5ffffffff,2,0
842e445ffffffff,53,0
8482d39ffffffff,2,0
8409321ffffffff,2,0
84b8881ffffffff,2,0
8428d9bffffffff,13,0
844863dffffffff,1,0
84be1e5ffffffff,7,0
84601cdffffffff,15,0
841aab3ffffffff,1,0
848f0a3ffffffff,2,0
8439335ffffffff,76,0
84ac983ffffffff,1,0
841ac39ffffffff,5,0
843cc4bffffffff,1,0
84704e7ffffffff,1,0
8445a0dffffffff,18,0
84309c5ffffffff,60,0
841ea9bffffffff,147,0
8449815ffffffff,34,0
8420ee5ffffffff,1,0
